Thursday, January 19, 2017 11:43:59#10#10#11#131#win#
Thursday, January 19, 2017 11:45:15#10#10#11#5#loose#
Thursday, January 19, 2017 12:23:30#10#10#11#1#loose#
Thursday, January 19, 2017 12:44:21#10#27#25#3#loose#
Thursday, January 19, 2017 12:46:14#10#10#11#2#loose#
Thursday, January 19, 2017 12:50:19#10#10#11#1#loose#
Thursday, January 19, 2017 12:51:37#10#10#11#1#loose#
Thursday, January 19, 2017 12:51:42#10#10#11#4#loose#
Thursday, January 19, 2017 13:00:06#10#10#11#1#loose#
Thursday, January 19, 2017 13:03:55#10#10#11#3#loose#
Thursday, January 19, 2017 13:04:09#10#10#11#1#loose#
Thursday, January 19, 2017 13:07:21#10#10#11#1#loose#
Thursday, January 19, 2017 13:07:27#10#10#11#7#loose#
Thursday, January 19, 2017 13:07:54#10#10#11#0#loose#
Thursday, January 19, 2017 13:08:19#10#10#11#1#loose#
Thursday, January 19, 2017 13:09:43#10#10#11#0#loose#
Thursday, January 19, 2017 13:10:06#10#10#11#0#loose#
Thursday, January 19, 2017 13:10:23#10#10#11#2#loose#
Thursday, January 19, 2017 13:10:49#10#10#11#1#loose#
Thursday, January 19, 2017 13:10:59#10#10#12#2#loose#
Thursday, January 19, 2017 13:10:59#10#10#12#2#loose#
Thursday, January 19, 2017 13:11:01#10#10#12#3#loose#
Thursday, January 19, 2017 13:11:50#10#10#11#0#loose#
Thursday, January 19, 2017 13:11:56#10#10#18#1#loose#
Thursday, January 19, 2017 13:13:35#10#10#11#0#loose#
Thursday, January 19, 2017 13:13:37#10#10#11#2#loose#
Thursday, January 19, 2017 13:13:54#10#10#11#1#loose#
Thursday, January 19, 2017 13:14:27#10#10#11#2#loose#
Thursday, January 19, 2017 13:14:46#10#10#11#0#loose#
Thursday, January 19, 2017 13:15:14#10#10#11#1#loose#
Thursday, January 19, 2017 13:16:36#10#10#11#1#loose#
Thursday, January 19, 2017 13:19:53#10#10#11#0#loose#
Thursday, January 19, 2017 13:20:04#10#10#11#1#loose#
Thursday, January 19, 2017 13:22:28#10#10#11#0#loose#
Thursday, January 19, 2017 13:22:34#10#10#13#1#loose#
Thursday, January 19, 2017 13:44:06#10#10#11#1#loose#
Thursday, January 19, 2017 13:48:59#10#10#11#6#loose#
Thursday, January 19, 2017 13:53:57#10#10#11#1#loose#
Thursday, January 19, 2017 13:54:11#10#10#11#0#loose#
Thursday, January 19, 2017 13:54:47#10#10#11#1#loose#
Thursday, January 19, 2017 13:55:04#10#10#11#1#loose#
Thursday, January 19, 2017 13:55:22#10#10#11#0#loose#
Thursday, January 19, 2017 13:55:37#10#10#11#0#loose#
Thursday, January 19, 2017 13:57:06#10#10#11#0#loose#
Thursday, January 19, 2017 13:57:30#10#10#11#0#loose#
Thursday, January 19, 2017 14:00:38#10#10#11#0#loose#
Thursday, January 19, 2017 14:01:10#10#10#11#0#loose#
Thursday, January 19, 2017 14:02:10#10#10#11#1#loose#
Thursday, January 19, 2017 14:02:54#10#10#11#0#loose#
Thursday, January 19, 2017 14:03:27#10#10#11#1#loose#
Thursday, January 19, 2017 14:04:25#10#10#11#2#loose#
Thursday, January 19, 2017 14:10:40#10#10#11#2#loose#
Thursday, January 19, 2017 14:11:04#10#10#11#1#loose#
Thursday, January 19, 2017 14:11:19#10#10#11#2#loose#
Thursday, January 19, 2017 14:11:50#10#10#11#0#loose#
Thursday, January 19, 2017 14:12:14#10#10#11#1#loose#
Thursday, January 19, 2017 14:12:35#10#10#13#1#loose#
Thursday, January 19, 2017 14:13:11#10#10#11#0#loose#
Thursday, January 19, 2017 14:13:33#10#10#11#0#loose#
Thursday, January 19, 2017 14:15:15#10#10#11#1#loose#
Thursday, January 19, 2017 14:15:52#10#10#11#1#loose#
Thursday, January 19, 2017 14:16:23#10#10#11#1#loose#
Thursday, January 19, 2017 14:17:08#10#10#11#1#loose#
Thursday, January 19, 2017 14:24:11#10#10#11#1#loose#
Thursday, January 19, 2017 14:25:40#20#12#26#64#loose#
Thursday, January 19, 2017 14:35:32#10#10#11#4#loose#
Thursday, January 19, 2017 14:37:52#16#20#32#35#loose#
Thursday, January 19, 2017 14:39:57#23#22#22#113#loose#
Thursday, January 19, 2017 14:43:27#21#21#41#0#loose#
Thursday, January 19, 2017 14:45:16#19#19#23#100#win#
Thursday, January 19, 2017 14:45:35#10#10#18#0#loose#
Friday, January 20, 2017 06:46:37#10#10#11#22#loose#
Friday, January 20, 2017 10:17:54#10#10#11#1#loose#
Friday, January 20, 2017 13:59:00#10#10#11#4#loose#
Saturday, January 21, 2017 11:49:08#10#10#11#0#loose#
Saturday, January 21, 2017 11:57:43#10#10#11#1#loose#
Saturday, January 21, 2017 11:59:17#10#10#11#2#loose#
Saturday, January 21, 2017 12:02:06#10#10#11#0#loose#
Saturday, January 21, 2017 12:02:30#10#10#11#2#loose#
Saturday, January 21, 2017 12:03:31#10#10#11#2#loose#
Saturday, January 21, 2017 12:24:56#10#10#11#0#loose#
Saturday, January 21, 2017 12:29:36#10#10#11#2#loose#
Saturday, January 21, 2017 12:42:10#10#10#11#1#loose#
Saturday, January 21, 2017 12:45:51#10#10#11#0#loose#
Saturday, January 21, 2017 12:47:04#10#10#11#2#loose#
Saturday, January 21, 2017 13:04:45#10#10#11#1#loose#
Saturday, January 21, 2017 13:06:01#10#10#13#47#loose#
Saturday, January 21, 2017 13:08:05#10#10#11#67#loose#
Tuesday, January 31, 2017 07:46:11#10#10#11#7#loose#
